name,parent,value
Retail,Fashion & Retail,47400
Alcohol,Food & Beverage,14800
Heineken,Food & Beverage,14700
Medical devices,Healthcare,43400
Paints,Manufacturing,26700
Commodities,Diversified,14200
Cement,Manufacturing,22400
Casinos/hotels,Gambling & Casinos,13900
Building supplies,Construction & Engineering,13700
WhatsApp,Technology,13700
Dallas Cowboys,Sports,13300
Oil & gas,Energy,13300
Automobiles,Automotive,13200
Auto parts,Automotive,27900
Apple,Technology,12000
Palm oil,Diversified,11800
Messaging app,Technology,11500
Agribusiness,Food & Beverage,19100
Online retail,Fashion & Retail,11400
Fertilizer,Manufacturing,11300
Video surveillance,Finance & Investments,11000
Gas stations,Fashion & Retail,10900
Gold,Finance & Investments,10500
Cryptocurrency exchange,Finance & Investments,10500
Banks,Finance & Investments,10300
Software,Technology,46900
Business software,Technology,17200
Hermes,Fashion & Retail,9800
Fertilizers,Manufacturing,9700
Private equity,Finance & Investments,92700
Smartphones,Technology,9700
Warehouse automation,Technology,9600
Solar panels,Energy,9600
Biotech,Healthcare,9400
Food delivery,Technology,9400
Airbnb,Technology,24900
Vacuums,Manufacturing,9300
Cable television,Media & Entertainment,9200
Software services,Technology,9200
Hardware stores,Fashion & Retail,9200
Alcoholic beverages,Food & Beverage,9000
Hydraulic machinery,Manufacturing,9000
Packaging,Food & Beverage,26700
Ecommerce,Fashion & Retail,8800
Venture capital,Technology,14100
EBay,Technology,8800
Soft drinks,Food & Beverage,8600
Solar wafers and modules,Manufacturing,8500
Media,Media & Entertainment,33300
Diamonds,Metals & Mining,8400
Aluminum products,Metals & Mining,8400
Sporting goods retail,Fashion & Retail,8300
Drugstores,Fashion & Retail,8300
Houston Rockets,Food & Beverage,8100
Oil and gas,Gambling & Casinos,8100
Home Depot,Fashion & Retail,15500
Insurance,Finance & Investments,8000
Coal mines,Metals & Mining,8000
Sports apparel,Fashion & Retail,15400
Samsung,Technology,7900
Metals and mining,Metals & Mining,7900
Petrochemicals,Manufacturing,28300
Financial information,Technology,7800
Furniture,Manufacturing,13100
Shoes,Fashion & Retail,7800
Movies,Media & Entertainment,7700
Internet search,Technology,7700
Photovoltaic equipment,Energy,7600
Restaurants,Food & Beverage,7500
Textiles,Fashion & Retail,12800
Construction,Construction & Engineering,13800
Agriculture,Food & Beverage,18000
Cement,Manufacturing,13000
Ports,Logistics,7300
Electronics components,Technology,14100
Electronics,Technology,25000
Auto loans,Finance & Investments,7200
Pipelines,Energy,34400
Fintech,Finance & Investments,7200
Personal care goods,Fashion & Retail,7200
Beverages,Food & Beverage,20400
Healthcare software,Technology,7100
Gambling,Gambling & Casinos,7100
Self storage,Service,7100
Construction equipment,Manufacturing,13400
Health care,Healthcare,7100
Mapping software,Technology,7000
Apparel,Fashion & Retail,12200
Food distribution,Food & Beverage,14000
Homebuilding,Diversified,6900
Cargill,Food & Beverage,6900
Hedge fund,Finance & Investments,6900
Lithium batteries,Technology,6900
Medical equipment,Healthcare,12600
Online gambling,Gambling & Casinos,12000
Tech investments,Finance & Investments,6800
Intel,Technology,6800
Metals,Diversified,6800
Money management,Finance & Investments,6700
Lego,Manufacturing,26800
Solar panel components,Manufacturing,6700
Natural gas,Energy,6700
Computer hardware,Technology,13400
Snacks,Food & Beverage,6700
Chick-fil-A,Food & Beverage,19800
Investments,Real Estate,6500
Staffing,Sports,6400
Biomedical products,Healthcare,6400
Fertilizer,Manufacturing,6400
Solar equipment,Energy,6300
Natural gas distribution,Energy,6300
Metalworking tools,Manufacturing,6300
Beer,Food & Beverage,6200
Temp agency,Service,6200
Power strips,Manufacturing,6200
Power strip,Manufacturing,6200
Coffee,Fashion & Retail,12200
Hotels,Energy,22600
Smartphone screens,Technology,6100
Convinience stores,Fashion & Retail,6000
Security software,Technology,6000
IT provider,Technology,11400
Finance,Finance & Investments,16700
Food,Food & Beverage,5900
Record label,Media & Entertainment,5700
Motorcycles,Automotive,5600
Pharmaceutical ingredients,Healthcare,5600
Gambling software,Gambling & Casinos,5600
Biotech,Healthcare,11100
Carnival Cruises,Service,5500
Payments software,Technology,5500
Payment software,Technology,5500
Timberland,Manufacturing,5500
Toyota dealerships,Automotive,5500
Medical packaging,Healthcare,5500
Mortgage lender,Finance & Investments,5400
Kitchen appliances,Manufacturing,5400
Consumer goods,Fashion & Retail,21600
Carpet,Manufacturing,5300
Pest control,Service,5300
Poultry genetics,Food & Beverage,5300
Real estate management,Real Estate,5200
Frozen foods,Food & Beverage,5200
Plush toys,Real Estate,5200
Franklin Templeton,Finance & Investments,5100
Shipping,Logistics,5100
San Francisco 49ers,Sports,5100
